PostalCode,PlaceName,State,StateAbbreviation,County,City,Latitude,Longitude
20000,Zona Centro,Aguascalientes,AGU,Aguascalientes,Aguascalientes,22.0785,-102.4683
20008,Delegacion de La Secretaria de Comercio y Fomento Industrial,Aguascalientes,AGU,Aguascalientes,Aguascalientes,22.0785,-102.4683
20009,Palacio de Gobierno Del Estado de Aguascalientes,Aguascalientes,AGU,Aguascalientes,Aguascalientes,22.0785,-102.4683
20010,San Cayetano,Aguascalientes,AGU,Aguascalientes,Aguascalientes,22.0785,-102.4683
20016,Colinas de San Ignacio,Aguascalientes,AGU,Aguascalientes,Aguascalientes,22.0785,-102.4683
20018,Linea de Fuego,Aguascalientes,AGU,Aguascalientes,Aguascalientes,22.0785,-102.4683
20019,Prado de los Sauces,Aguascalientes,AGU,Aguascalientes,Aguascalientes,22.0785,-102.4683
20020,Circunvalacion 1a Seccion,Aguascalientes,AGU,Aguascalientes,Aguascalientes,21.9208,-102.5806
20029,Villas de La Universidad,Aguascalientes,AGU,Aguascalientes,Aguascalientes,21.9208,-102.5806
20030,Gremial,Aguascalientes,AGU,Aguascalientes,Aguascalientes,22.0785,-102.4683
20038,Industrial Gremial,Aguascalientes,AGU,Aguascalientes,Aguascalientes,22.0785,-102.4683
20040,Miravalle,Aguascalientes,AGU,Aguascalientes,Aguascalientes,22.0785,-102.4683
20046,Guadalupe Posada,Aguascalientes,AGU,Aguascalientes,Aguascalientes,22.0785,-102.4683
20049,Colinas Del Poniente,Aguascalientes,AGU,Aguascalientes,Aguascalientes,22.0785,-102.4683
20050,Primavera,Aguascalientes,AGU,Aguascalientes,Aguascalientes,21.9333,-102.7
20059,Heliodoro Garcia,Aguascalientes,AGU,Aguascalientes,Aguascalientes,22.4167,-102.2833
20060,Reforma,Aguascalientes,AGU,Aguascalientes,Aguascalientes,22,-102.2958
20064,Valle Del Rio San Pedro,Aguascalientes,AGU,Aguascalientes,Aguascalientes,22,-102.2958
20070,San Marcos,Aguascalientes,AGU,Aguascalientes,Aguascalientes,22.1,-102.475
20078,San Marcos,Aguascalientes,AGU,Aguascalientes,Aguascalientes,22.1,-102.475
20080,Del Valle,Aguascalientes,AGU,Aguascalientes,Aguascalientes,22.0785,-102.4683
20089,Del Valle 1a Seccion,Aguascalientes,AGU,Aguascalientes,Aguascalientes,22.0785,-102.4683
20090,Huasco,Aguascalientes,AGU,Aguascalientes,Aguascalientes,22.0785,-102.4683
20100,Club Campestre,Aguascalientes,AGU,Aguascalientes,Aguascalientes,21.9439,-102.3694
20105,Campestre Estrella,Aguascalientes,AGU,Aguascalientes,Aguascalientes,21.9439,-102.3694
20110,Villas de Montenegro,Aguascalientes,AGU,Aguascalientes,Aguascalientes,21.8597,-102.5556
20115,Valle de las Trojes,Aguascalientes,AGU,Aguascalientes,Aguascalientes,21.8597,-102.5556
20116,Trojes de Alonso,Aguascalientes,AGU,Aguascalientes,Aguascalientes,21.9333,-102.3167
20117,Aguascalientes 2000,Aguascalientes,AGU,Aguascalientes,Aguascalientes,21.8597,-102.5556
20118,Las Trojes,Aguascalientes,AGU,Aguascalientes,Aguascalientes,21.8667,-102.8167
20119,Calicantos,Aguascalientes,AGU,Aguascalientes,Aguascalientes,21.8597,-102.5556
